Histogram Number, Histogram Name, Number of Events
1,Interaction_RecoCohSig_Variable_NeutrinoEnergy_Cut_slicing,263195
2,Interaction_RecoCohSig_Variable_NeutrinoEnergy_Cut_dqcuts,262195
3,Interaction_RecoCohSig_Variable_NeutrinoEnergy_Cut_fiducial,234816
4,Interaction_RecoCohSig_Variable_NeutrinoEnergy_Cut_containment,107842
5,Interaction_RecoCohSig_Variable_NeutrinoEnergy_Cut_muonID,103229
6,Interaction_RecoCohBkgd_Variable_NeutrinoEnergy_Cut_slicing,6.13119e+08
7,Interaction_RecoCohBkgd_Variable_NeutrinoEnergy_Cut_dqcuts,4.20787e+08
8,Interaction_RecoCohBkgd_Variable_NeutrinoEnergy_Cut_fiducial,4.47262e+07
9,Interaction_RecoCohBkgd_Variable_NeutrinoEnergy_Cut_containment,1.26628e+07
10,Interaction_RecoCohBkgd_Variable_NeutrinoEnergy_Cut_muonID,7.28261e+06
11,Interaction_TruthCohSig_Variable_NeutrinoEnergy_Cut_Truth,273749
12,Interaction_TruthCohBkgd_Variable_NeutrinoEnergy_Cut_Truth,2.78312e+09
