Histogram Number, Histogram Name, Number of Events
1,Interaction_RecoCohBkgd_Variable_NeutrinoEnergy_Cut_slicing,6.13119e+08
2,Interaction_RecoCohBkgd_Variable_NeutrinoEnergy_Cut_dqcuts,4.20787e+08
3,Interaction_RecoCohBkgd_Variable_NeutrinoEnergy_Cut_fiducial,4.47262e+07
4,Interaction_RecoCohBkgd_Variable_NeutrinoEnergy_Cut_containment,1.26628e+07
5,Interaction_RecoCohBkgd_Variable_NeutrinoEnergy_Cut_muonID,7.28261e+06
6,Interaction_RecoCohSig_Variable_NeutrinoEnergy_Cut_slicing,263195
7,Interaction_RecoCohSig_Variable_NeutrinoEnergy_Cut_dqcuts,262195
8,Interaction_RecoCohSig_Variable_NeutrinoEnergy_Cut_fiducial,234816
9,Interaction_RecoCohSig_Variable_NeutrinoEnergy_Cut_containment,107842
10,Interaction_RecoCohSig_Variable_NeutrinoEnergy_Cut_muonID,103229
